Nature,HP/Atk/Def/SpA/SpD/Spe,Use Percentage
Jolly,0/252/0/0/4/252/,16.178%
Jolly,4/252/0/0/0/252/,13.510%
Timid,4/0/0/252/0/252/,8.833%
Timid,0/0/0/252/4/252/,8.536%
Jolly,0/252/4/0/0/252/,4.632%
Adamant,0/252/0/0/4/252/,3.398%
Jolly,228/20/4/0/4/252/,2.423%
Adamant,4/252/0/0/0/252/,2.178%
Timid,0/0/0/252/0/252/,2.144%
Adamant,220/140/0/0/0/132/,1.976%
Adamant,220/4/4/52/0/228/,1.793%
Modest,4/0/0/252/0/252/,1.664%
Naive,0/252/0/4/0/252/,1.380%
Timid,252/0/4/28/164/60/,1.345%
Adamant,108/252/4/0/4/140/,1.291%
Adamant,252/156/4/0/52/44/,1.270%
Hasty,0/4/0/252/0/252/,1.105%
Jolly,28/244/4/0/12/220/,1.105%
Jolly,12/252/12/0/12/220/,1.075%
Hasty,0/252/4/0/0/252/,1.021%
Jolly,0/252/0/0/4/252/,16.178%
Jolly,4/252/0/0/0/252/,13.510%
Timid,4/0/0/252/0/252/,8.833%
Timid,0/0/0/252/4/252/,8.536%
Jolly,0/252/4/0/0/252/,4.632%
Adamant,0/252/0/0/4/252/,3.398%
Jolly,228/20/4/0/4/252/,2.423%
Adamant,4/252/0/0/0/252/,2.178%
Timid,0/0/0/252/0/252/,2.144%
Adamant,220/140/0/0/0/132/,1.976%
Adamant,220/4/4/52/0/228/,1.793%
Modest,4/0/0/252/0/252/,1.664%
Naive,0/252/0/4/0/252/,1.380%
Timid,252/0/4/28/164/60/,1.345%
Adamant,108/252/4/0/4/140/,1.291%
Adamant,252/156/4/0/52/44/,1.270%
Hasty,0/4/0/252/0/252/,1.105%
Jolly,28/244/4/0/12/220/,1.105%
Jolly,12/252/12/0/12/220/,1.075%
Hasty,0/252/4/0/0/252/,1.021%
