Pokemon,Type,Use Percentage
Corviknight,flyingsteel,32.640%
Rotom-Wash,electricwater,32.393%
Arcanine,fire,31.088%
Excadrill,groundsteel,25.712%
Tyranitar,rockdark,21.797%
Braviary,normalflying,19.255%
Sylveon,fairy,17.803%
Dracovish,waterdragon,14.411%
Indeedee-F,psychicnormal,14.124%
Gyarados,waterflying,12.641%
Corviknight,flyingsteel,32.640%
Rotom-Wash,electricwater,32.393%
Arcanine,fire,31.088%
Excadrill,groundsteel,25.712%
Tyranitar,rockdark,21.797%
Braviary,normalflying,19.255%
Sylveon,fairy,17.803%
Dracovish,waterdragon,14.411%
Indeedee-F,psychicnormal,14.124%
Gyarados,waterflying,12.641%
