Nature,HP/Atk/Def/SpA/SpD/Spe,Use Percentage
Timid,4/0/0/252/0/252/,9.226%
Timid,0/0/0/252/4/252/,3.633%
Modest,252/0/0/252/0/4/,3.463%
Timid,0/0/4/252/0/252/,3.296%
Timid,252/0/0/36/0/220/,2.370%
Timid,252/0/0/20/0/236/,2.269%
Modest,252/0/4/116/4/132/,2.207%
Calm,252/0/76/4/148/28/,2.039%
Calm,252/0/4/28/92/132/,1.900%
Modest,252/0/0/252/4/0/,1.561%
Calm,252/0/44/60/148/4/,1.449%
Timid,180/0/52/44/4/228/,1.418%
Calm,252/0/116/4/108/28/,1.402%
Calm,252/0/0/4/252/0/,1.383%
Bold,172/0/4/132/20/180/,1.310%
Modest,252/0/204/36/4/12/,1.187%
Timid,188/0/0/0/68/252/,1.142%
Bold,252/0/252/0/0/4/,1.069%
Modest,252/0/0/156/0/100/,0.977%
Modest,4/0/0/252/0/252/,0.941%
